"","Year","Film","Role","Notes","Language","Director"
"1","1982","Bazaar","—","Uncredited","Hindi","Sagar Sarhadi"
"2","1985","Hum Naujawan","Priya",NA,"Hindi","Dev Anand"
"3","1991","Coolie No. 1","Ranjani",NA,"Telugu","K. Raghavendra Rao"
"4","1992","Mashooq","Unknown",NA,"Hindi","Mirza Brothers"
"5","1994","Pehla Pehla Pyar","Sapna",NA,"Hindi","Manmohan Singh"
"6","1994","Vijaypath","Mohini","Filmfare Award for Best Female Debut","Hindi","Farouq Siddiqui"
"7","1995","Prem","Lachi / Sonya Jetley",NA,"Hindi","Satish Kaushik"
"8","1995","Saajan Ki Baahon Mein","Kavita",NA,"Hindi","Jai Prakash"
"9","1995","Sisindri","—","Special appearance","Telugu","Shiva Nageswara Rao"
"10","1995","Haqeeqat","Sudha",NA,"Hindi","Sandesh Kohli"
"11","1996","Himmat","Anju",NA,"Hindi","Sunil Sharma"
"12","1996","Kadhal Desam","Divya",NA,"Tamil","Kathir"
"13","1996","Tu Chor Main Sipahi","Kajal",NA,"Hindi","Guddu Dhanoa"
"14","1996","Jeet","Tulsi","Nominated—Filmfare Award for Best Supporting Actress","Hindi","Raj Kanwar"
"15","1996","Kaalapani","Parvathi",NA,"Malayalam","Priyadarshan"
"16","1996","Maachis","Veerandra (Veeran)","National Film Award for Best Actress
Nominated—Filmfare Award for Best Actress","Hindi","Gulzar"
"17","1996","Saajan Chale Sasural","Divya Khurana",NA,"Hindi","David Dhawan"
"18","1996","Ninne Pelladata","Mahalakshmi","Filmfare Award for Best Actress – Telugu","Telugu","Pasupuleti Krishna Vamsi"
"19","1997","Darmiyaan: In Between","Chitra",NA,"Hindi","Kalpana Lajmi"
"20","1997","Virasat","Gehna","Filmfare Critics Award for Best Actress
Nominated—Filmfare Award for Best Actress","Hindi","Priyadarshan"
"21","1997","Border","Kuldeep's wife",NA,"Hindi","J. P. Dutta"
"22","1997","Iruvar","Senthamarai",NA,"Tamil","Mani Ratnam"
"23","1997","Chachi 420","Janki Paswan",NA,"Hindi","Kamal Haasan"
"24","1998","Thaayin Manikodi","Rani",NA,"Tamil","Arjun Sarja"
"25","1998","Aavida Maa Aavide","Archana",NA,"Telugu","E. V. V. Satyanarayana"
"26","1998","2001: Do Hazaar Ek","Billu",NA,"Hindi","Raj N. Sippy"
"27","1999","Hu Tu Tu","Panna","Filmfare Critics Award for Best Actress
Nominated—Filmfare Award for Best Actress","Hindi","Gulzar"
"28","1999","Biwi No.1","Lovely",NA,"Hindi","David Dhawan"
"29","1999","Kohram","Inspector Kiran Patkar",NA,"Hindi","Mehul Kumar"
"30","1999","Hanuman","Anja",NA,"English","Fred Fougea"
"31","1999","Hum Saath-Saath Hain","Sadhana",NA,"Hindi","Sooraj R. Barjatya"
"32","1999","Thakshak","Suman Dev",NA,"Hindi","Govind Nihalani"
"33","2000","Hera Pheri","Anuradha Shivshankar Panikar",NA,"Hindi","Priyadarshan"
"34","2000","Kandukondain Kandukondain","Sowmya",NA,"Tamil","Rajiv Menon"
"35","2000","Tarkieb","Roshni Choubey",NA,"Hindi","Esmayeel Shroff"
"36","2000","Dil Pe Mat Le Yaar","Kamya Lal",NA,"Hindi","Hansal Mehta"
"37","2000","Shikari","Suman",NA,"Hindi","N. Chandra"
"38","2000","Astitva","Aditi Pandit","Filmfare Critics Award for Best Actress
Nominated—Filmfare Award for Best Actress","Hindi /Marathi[c]","Mahesh Manjrekar"
"39","2000","Ghaath","Kavita Choudhary",NA,"Hindi","Akashdeep"
"40","2000","Snegithiye","ACP Gayatri",NA,"Tamil","Priyadarshan"
"41","2000","Cover Story","Jasmine Khan",NA,"Malayalam","G.S. Vijayan"
"42","2001","Dil Ne Phir Yaad Kiya","Roshni Batra",NA,"Hindi","Rajat Rawail"
"43","2001","Chandni Bar","Mumtaz","National Film Award for Best Actress
Nominated—Filmfare Award for Best Actress","Hindi","Madhur Bhandarkar"
"44","2001","Aamdani Atthani Kharcha Rupaiyaa","Meena",NA,"Hindi","K. Raghavendra Rao"
"45","2002","Maa Tujhhe Salaam","Captain Sonia Khanna",NA,"Hindi","Tinu Verma"
"46","2002","Filhaal...","Rewa Singh",NA,"Hindi","Meghna Gulzar"
"47","2002","Chennakesava Reddy","Devi",NA,"Telugu","V. V. Vinayak"
"48","2002","Zindagi Khoobsoorat Hai","Shalu",NA,"Hindi","Manoj Punj"
"49","2002","Saathiya","Savithri Rao","Special appearance","Hindi","Shaad Ali"
"50","2003","Abar Aranye","Amrita",NA,"Bengali","Goutam Ghose"
"51","2003","Khanjar: The Knife","Shilpa",NA,"Hindi","Chander Sharma"
"52","2003","Hawa","Sanjana",NA,"Hindi","Guddu Dhanoa"
"53","2003","Jaal: The Trap","Neha Pandit",NA,"Hindi","Guddu Dhanoa"
"54","2003","Maqbool","Nimmi",NA,"Hindi","Vishal Bhardwaj"
"55","2004","Main Hoon Na","—","Uncredited","Hindi","Farah Khan"
"56","2004","Meenaxi: A Tale of Three Cities","Meenaxi / Maria Zarkova",NA,"Hindi","M. F. Husain"
"57","2005","Bhagmati","Bhagmati",NA,"Hindi","Ashok Kaul"
"58","2005","Andarivaadu","Shanthi",NA,"Telugu","Srinu Vytla"
"59","2005","Silsiilay","Rehana",NA,"Hindi","Khalid Mohamed"
"60","2006","Shock","Gita",NA,"Telugu","Harish Shankar"
"61","2006","Fanaa","Malini Tyagi",NA,"Hindi","Kunal Kohli"
"62","2006","Namesake","Ashima","Indian-American film","English","Mira Nair"
"63","2007","Sarhad Paar","Pammi",NA,"Hindi","Raman Kumar"
"64","2007","Rakkilippattu","ACP Gayatri Varma",NA,"Malayalam","Priyadarshan"
"65","2007","Cheeni Kum","Nina Verma","Filmfare Critics Award for Best Actress","Hindi","R. Balki"
"66","2007","Om Shanti Om","Herself","Cameo appearance in song ""Deewangi Deewangi""","Hindi","Farah Khan"
"67","2008","Idi Sangathi","Swarajyalakshmi",NA,"Telugu","Chandra Siddhartha"
"68","2008","Pandurangadu","Amrutha","Nominated—Filmfare Award for Best Supporting Actress – Telugu","Telugu","K. Raghavendra Rao"
"69","2010","Toh Baat Pakki","Rajeshwari Saxena",NA,"Hindi","Kedar Shinde"
"70","2010","Khuda Kasam","Neetu Singh",NA,"Hindi","K. C. Bokadia"
"71","2011","Urumi","—","Special appearance","Malayalam","Santosh Sivan"
"72","2012","Life of Pi","Gita Patel","American film","English","Ang Lee"
"73","2013","David","Frenny",NA,"Hindi","Bejoy Nambiar"
"74","2013","David","Frenny",NA,"Tamil","Bejoy Nambiar"
"75","2014","Jai Ho","Geeta Agnihotri",NA,"Hindi","Sohail Khan"
"76","2014","Haider","Ghazala Meer","Also playback singer for song ""Roshe Valle""
Filmfare Award for Best Supporting Actress","Hindi","Vishal Bhardwaj"
"77","2015","Drishyam","Meera Deshmukh","Nominated—Filmfare Award for Best Supporting Actress","Hindi","Nishikant Kamat"
"78","2015","Talvar","Reema Kumar","Guest appearance","Hindi","Meghna Gulzar"
"79","2016","Fitoor","Begum Hazrat Jaan",NA,"Hindi","Abhishek Kapoor"
"80","2016","Missing","TBA","Post-production
Also playback singer for song ""Soja Re""","Hindi","Manoj Abhyankar"
